Region Number,Year,Region,Total Population,Births,Deaths,Net Migration,Natural Increase
23,1985,10 County Denver Metro,1634282,28365,9888,"10,618","18,477"
23,1986,10 County Denver Metro,1652674,28696,10136,-168,"18,560"
23,1987,10 County Denver Metro,1654693,28018,10125,"-15,874","17,893"
23,1988,10 County Denver Metro,1648541,27625,10381,"-23,396","17,244"
23,1989,10 County Denver Metro,1649687,27253,10066,"-16,041","17,187"
23,1990,10 County Denver Metro,1656004,27909,10465,"-11,127","17,444"
23,1991,10 County Denver Metro,1697070,28036,10713,"23,743","17,323"
23,1992,10 County Denver Metro,1756169,28651,10904,"41,352","17,747"
23,1993,10 County Denver Metro,1810458,28427,11355,"37,217","17,072"
23,1994,10 County Denver Metro,1851737,28061,11827,"25,045","16,234"
23,1995,10 County Denver Metro,1895265,27914,12068,"27,682","15,846"
23,1996,10 County Denver Metro,1944812,28640,12068,"32,975","16,572"
23,1997,10 County Denver Metro,1995073,29359,12490,"33,392","16,869"
23,1998,10 County Denver Metro,2051007,30354,12830,"38,410","17,524"
23,1999,10 County Denver Metro,2111972,31997,12798,"41,766","19,199"
23,2000,10 County Denver Metro,2193964,34045,13025,"60,964","21,020"
23,2001,10 County Denver Metro,2243659,35734,13256,"27,217","22,478"
23,2002,10 County Denver Metro,2271767,36419,13847,"5,536","22,572"
23,2003,10 County Denver Metro,2297992,37668,13834,"2,391","23,834"
23,2004,10 County Denver Metro,2327058,37141,13831,"5,756","23,310"
23,2005,10 County Denver Metro,2351871,37597,13996,"1,212","23,601"
23,2006,10 County Denver Metro,2392951,37380,13934,"17,634","23,446"
23,2007,10 County Denver Metro,2434392,37773,14292,"17,960","23,481"
23,2008,10 County Denver Metro,2478311,37661,14856,"21,114","22,805"
23,2009,10 County Denver Metro,2521840,36869,14626,"21,286","22,243"
23,2010,10 County Denver Metro,2556278,35585,15208,"14,061","20,377"
23,2011,10 County Denver Metro,2601177,34782,15314,"25,090","19,468"
23,2012,10 County Denver Metro,2647527,33957,15830,"28,247","18,127"
23,2013,10 County Denver Metro,2697283,34370,16224,"31,667","18,146"
23,2014,10 County Denver Metro,2750964,34824,16216,"34,966","18,608"
23,2015,10 County Denver Metro,2807692,35165,17347,"38,709","17,818"
23,2016,10 County Denver Metro,2852335,35251,17539,"26,910","17,712"
